TITLE,PRICE,SOLD,RATING,FEEDBACK,CONDITION,URL
  Vans New Authentic Era Classic Sneakers Unisex Canvas Shoes,38.75,0,7565,100.0,New without box,https://www.ebay.com/itm/Vans-New-Authentic-Era-Classic-Sneakers-Unisex-Canvas-Shoes/152926574649?var=452690357610&hash=item239b225839:g:AsMAAOSw5JBal0sY:sc:USPSPriorityMailPaddedFlatRateEnvelope!91709!US!-1
Mens Vans Classic Slip On Checker Flame Skate Shoes Sneakers Red Black White,49.95,1,709,98.8,New with box,https://www.ebay.com/itm/Mens-Vans-Classic-Slip-On-Checker-Flame-Skate-Shoes-Sneakers-Red-Black-White/323973666335?var=513039463820&_trkparms=ispr%3D1&hash=item4b6e55d61f:m:m2bA83eSl4bu0POO-fwD--Q&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qUdx2xaIohQeyIuaY36D7GiA6nIsMrq%2BwMoQVhUGEuS9QE2Vl%2Fn2ieMtw%2FS2585%2FbfNZlZUZ2rkZC6RC4SgozRTcfsH7Fr2ArY8p2oYs9zo1wPZrrmMFdZNOmrz6PjqFWs9gY9J5H7iieDH8UDpPAaR3T8MBrvxn4N%2Faj%2F35cVk7YI2SuwbzVly4JJSsGXylP%2B3%2BGWnMOjhggga3tReRZ1EewqGtnrO0NeHplLdBX5Xj9sPspiXdnMmeo4X7fz4kFcGkMV586T68e2PaR1yyUb7JZpCtN%2FEAERua2dcegJ0rDeXmaScIKoAyMDrrB1rvSGkZBVEgXOgjTI2PuN29gzkntikkFPpysmIcZ%2F4dP8%2BxAagfRxYRzbqF%2FeIWE1Sx%2FUkfye0n7vXY%2FOoSzjcxilLxhskW7LR0LPYoNUbpCfvHBCH7%2FB0fJasgOS9pSpdwvz2Q9%2Bo2cziWYm67jdx27I%2FjsqTcuUrNyvnrzBIJZRCo6%2BfFu3n5HWoa5pGV%2FfubiHYHOCQPnPlzv%2FjrjqDWHqHYgQjwgImsT4jh5FULrx7AfukMyTmrTVGmNZBkbm2o2Q5%2B26cJ%2FWBBMYKNcswU7uDEcasNEvjrHbOVlF5pqMItdyzQcuKi9RW0SyeHpvzl4eDQL2FMAKUNQhoJL6fDMpFJfKq0wA%2Bj0U4T8CjIZkYCk%2FUCk1iyqXusomzRjHM2UnQY9t05EGxI9OnrVPCQIDHqDi2imcYDPTsOpjrZlg%2BrA%3D%3D&checksum=323973666335f64ee27560de45e1aa3ed70d7e03c21d&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qUdx2xaIohQeyIuaY36D7GiA6nIsMrq%2BwMoQVhUGEuS9QE2Vl%2Fn2ieMtw%2FS2585%2FbfNZlZUZ2rkZC6RC4SgozRTcfsH7Fr2ArY8p2oYs9zo1wPZrrmMFdZNOmrz6PjqFWs9gY9J5H7iieDH8UDpPAaR3T8MBrvxn4N%2Faj%2F35cVk7YI2SuwbzVly4JJSsGXylP%2B3%2BGWnMOjhggga3tReRZ1EewqGtnrO0NeHplLdBX5Xj9sPspiXdnMmeo4X7fz4kFcGkMV586T68e2PaR1yyUb7JZpCtN%2FEAERua2dcegJ0rDeXmaScIKoAyMDrrB1rvSGkZBVEgXOgjTI2PuN29gzkntikkFPpysmIcZ%2F4dP8%2BxAagfRxYRzbqF%2FeIWE1Sx%2FUkfye0n7vXY%2FOoSzjcxilLxhskW7LR0LPYoNUbpCfvHBCH7%2FB0fJasgOS9pSpdwvz2Q9%2Bo2cziWYm67jdx27I%2FjsqTcuUrNyvnrzBIJZRCo6%2BfFu3n5HWoa5pGV%2FfubiHYHOCQPnPlzv%2FjrjqDWHqHYgQjwgImsT4jh5FULrx7AfukMyTmrTVGmNZBkbm2o2Q5%2B26cJ%2FWBBMYKNcswU7uDEcasNEvjrHbOVlF5pqMItdyzQcuKi9RW0SyeHpvzl4eDQL2FMAKUNQhoJL6fDMpFJfKq0wA%2Bj0U4T8CjIZkYCk%2FUCk1iyqXusomzRjHM2UnQY9t05EGxI9OnrVPCQIDHqDi2imcYDPTsOpjrZlg%2BrA%3D%3D&checksum=323973666335f64ee27560de45e1aa3ed70d7e03c21d
VANS CLASSIC AUTHENTIC NEW Sizes 3.5-15 Canvas Free Fast Shipping,49.99,187,5761,99.9,New without box,https://www.ebay.com/itm/VANS-CLASSIC-AUTHENTIC-NEW-Sizes-3-5-15-Canvas-Free-Fast-Shipping/293281854148?epid=1201995201&var=592144541962&_trkparms=ispr%3D1&hash=item4448f5f2c4:g:t04AAOSwIKVdp1Hv:sc:USPSPriorityMailLegalFlatRateEnvelope!91709!US!-1&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qVoj9Qs7Ddgyf472fJWSgGA6uMWDyVUrIE4HVk4LeAMyYB%2FGI7xQWjuSWFj9cWIBqdquIwrK3L7DPKpF0Ij1yYZwfe%2BQ5kDCj5M32DVwJUdZvHp2PiJWTHSNfHnPcesg5x8E2XxjYOQf3mI%2FpFovMmIaZ1p0g0aVC6vr3ErsWI94hzqa%2FWZBc8vUMaPPSdoAh1mBXqtPO7mYRASkGQolgKoasrJbBMkDkPpIOQKSe4pJsLTK7OxNL1KvGgtIGNBhdLfv1GeEw%2Boe9HkeMKpQKctlBvfpcroCZMiPgLFQcebPFJuhq6YN68FCG7B4xdW9tbTqeNe0K3IIKO7PZJq5maGnSgjGW9hDA3qtj7S6yyrYKXcUnbJwJbKYCpFlEujaQzyIIQ39lTjUY9o%2F%2BaQ6dXvgA2XX4D17OGzdrHDATdk5qSDCXbG2GzfX67t7IEJJQaFSCOe%2FjJwpDwBenpLYq%2BVdkEOaRihQps79bIh%2BeP1cVWfkchMJzjvV2JVHAsKIRilRHBLMLtMlqKIHCJZkPIpOTU1Fo0tsGuZm3r4bDNQKt4p0jsWID4%2F%2B0uZXQQhlA%2BjGHopZwj4JeME%2FSVxUaTy02rXBLJ%2BdeI1QvFek4KmGZmRLwdu38UVrMckeGYTOtYTgV4recJUl5sA7puAf7K8kA7mVJbzI5triIe9XYPdio7nzJ2oP2J2K7f3SrTg3k78hBpVzigo5iz%2F0Jxmt6GSha3rVUv9WbnTQ3UVS6%2FpgA%3D%3D&checksum=293281854148f64ee27560de45e1aa3ed70d7e03c21d&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qVoj9Qs7Ddgyf472fJWSgGA6uMWDyVUrIE4HVk4LeAMyYB%2FGI7xQWjuSWFj9cWIBqdquIwrK3L7DPKpF0Ij1yYZwfe%2BQ5kDCj5M32DVwJUdZvHp2PiJWTHSNfHnPcesg5x8E2XxjYOQf3mI%2FpFovMmIaZ1p0g0aVC6vr3ErsWI94hzqa%2FWZBc8vUMaPPSdoAh1mBXqtPO7mYRASkGQolgKoasrJbBMkDkPpIOQKSe4pJsLTK7OxNL1KvGgtIGNBhdLfv1GeEw%2Boe9HkeMKpQKctlBvfpcroCZMiPgLFQcebPFJuhq6YN68FCG7B4xdW9tbTqeNe0K3IIKO7PZJq5maGnSgjGW9hDA3qtj7S6yyrYKXcUnbJwJbKYCpFlEujaQzyIIQ39lTjUY9o%2F%2BaQ6dXvgA2XX4D17OGzdrHDATdk5qSDCXbG2GzfX67t7IEJJQaFSCOe%2FjJwpDwBenpLYq%2BVdkEOaRihQps79bIh%2BeP1cVWfkchMJzjvV2JVHAsKIRilRHBLMLtMlqKIHCJZkPIpOTU1Fo0tsGuZm3r4bDNQKt4p0jsWID4%2F%2B0uZXQQhlA%2BjGHopZwj4JeME%2FSVxUaTy02rXBLJ%2BdeI1QvFek4KmGZmRLwdu38UVrMckeGYTOtYTgV4recJUl5sA7puAf7K8kA7mVJbzI5triIe9XYPdio7nzJ2oP2J2K7f3SrTg3k78hBpVzigo5iz%2F0Jxmt6GSha3rVUv9WbnTQ3UVS6%2FpgA%3D%3D&checksum=293281854148f64ee27560de45e1aa3ed70d7e03c21d
New Custom Vans Old Skool Skateboarding Red Rose & Pink Rose Embroidery Patch,0.0,31,446,100.0,New with box,https://www.ebay.com/itm/New-Custom-Vans-Old-Skool-Skateboarding-Red-Rose-Pink-Rose-Embroidery-Patch/163923059439?var=463535249499&_trkparms=ispr%3D1&hash=item262a9362ef:m:m7z640eVHV25n_9rkth6vBA&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qW6mgxnMBwFKykwV%2FvzEqHGiudFCwEMaQTlrTmH5HyB%2F5pM2rGEY2PBmbdLn8UxgHiPAMP9D%2BhEeMjKKOPvGGh4mdln51IPSuSeliMUOKLjk4Qw%2FvHa67K0ZUtxJBj3OLbw4vuj1S6eUv6cpwv%2FETkL%2Bntf%2B1kgAf2NJMopar9mAqz3opoNF%2FLzKyWiKv51the2HKCMFmdae2OKNVJ%2BaxvqUopAmtcd%2B6s3Aa7zG%2BTqJxtkg7Q2Hh64OP1lwigrFa4%2Bq4pstr%2FAWKg%2FdDpJX74KguTrA2U7HHDxGi6EPqDh5TxaNLdLxP6vAg1OnnAF1VHTrZ%2Bcuo%2F2sVy3pp%2FoeNNi0kZjGMFtFro0kyQ%2F80GfKit43lxK%2FsO%2F2WYf5%2BnwHZgw5EIPeHpzF3HTTy2R9mVFXWupFbdETiCo1N9%2FsJ0UnHn5X1o0H3Lw50yI%2FzUNNuF5UNKnYJBdi%2BCcxzxz2il2RvspVmqTL124tWghcKF9h8J1IDFM4SrOpZRlyFeljMQI2d5mZ6YCF2IPFPJwKwibXSFzcMvJ1VSZuCfI0Y2SCMWDXc1bCrZWjE%2FPvFSU9rMFrHGBqvps3Z1xVi2lCNGvEdquw%2FG93FauCDLJN7Vmco8ctZwvVyniKs2V5AJupnyjE1qolymHfWwBWRRA39HmtTia2NGjlrEymEzhObibHMsXxyb61hnBQ0Uzwa%2FxuJeuDG5Garr46ttCVVXsNztCHSS%2FJ0YoaiEb1CDyNhqh6A%3D%3D&checksum=163923059439f64ee27560de45e1aa3ed70d7e03c21d&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qW6mgxnMBwFKykwV%2FvzEqHGiudFCwEMaQTlrTmH5HyB%2F5pM2rGEY2PBmbdLn8UxgHiPAMP9D%2BhEeMjKKOPvGGh4mdln51IPSuSeliMUOKLjk4Qw%2FvHa67K0ZUtxJBj3OLbw4vuj1S6eUv6cpwv%2FETkL%2Bntf%2B1kgAf2NJMopar9mAqz3opoNF%2FLzKyWiKv51the2HKCMFmdae2OKNVJ%2BaxvqUopAmtcd%2B6s3Aa7zG%2BTqJxtkg7Q2Hh64OP1lwigrFa4%2Bq4pstr%2FAWKg%2FdDpJX74KguTrA2U7HHDxGi6EPqDh5TxaNLdLxP6vAg1OnnAF1VHTrZ%2Bcuo%2F2sVy3pp%2FoeNNi0kZjGMFtFro0kyQ%2F80GfKit43lxK%2FsO%2F2WYf5%2BnwHZgw5EIPeHpzF3HTTy2R9mVFXWupFbdETiCo1N9%2FsJ0UnHn5X1o0H3Lw50yI%2FzUNNuF5UNKnYJBdi%2BCcxzxz2il2RvspVmqTL124tWghcKF9h8J1IDFM4SrOpZRlyFeljMQI2d5mZ6YCF2IPFPJwKwibXSFzcMvJ1VSZuCfI0Y2SCMWDXc1bCrZWjE%2FPvFSU9rMFrHGBqvps3Z1xVi2lCNGvEdquw%2FG93FauCDLJN7Vmco8ctZwvVyniKs2V5AJupnyjE1qolymHfWwBWRRA39HmtTia2NGjlrEymEzhObibHMsXxyb61hnBQ0Uzwa%2FxuJeuDG5Garr46ttCVVXsNztCHSS%2FJ0YoaiEb1CDyNhqh6A%3D%3D&checksum=163923059439f64ee27560de45e1aa3ed70d7e03c21d
Vans Old Skool Skateboard Classic Black White / Navy Mens Womens Shoes,54.99,151,5761,99.9,New without box,https://www.ebay.com/itm/Vans-Old-Skool-Skateboard-Classic-Black-White-Navy-Mens-Womens-Shoes/303324368348?epid=5028980691&var=602394034100&_trkparms=ispr%3D1&hash=item469f8a8ddc:g:OrMAAOSw-~tdp2Cl:sc:USPSPriorityMailLegalFlatRateEnvelope!91709!US!-1&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qVnHb%2BJKIG2giBWaCxi0XMgBnkJNkwnxsA%2BDoxBEJ4sh0urH44Q2ceAvPcD%2BEq8ePEuMk6%2FiEvk1brLAFz3SqX8win%2B1ZZNsNUuCb52UK56Yn3BznNVc7WoYfqSDMLB%2FQOi6SBpDC2sowRmRQLm9p%2Bp%2FEmdGvK5Ofzem0nD4dhvSZ4VOGOc%2F8ZSD716Icl%2BavaniUPRXGY7hyjA0xEW377Aa1yrWJbENVIYcVgtm%2Bt0yW2TJnBmr4r9y3mkmu%2Bc%2FoZ7I2Fx1TGE0dXMoreYAEuTa%2BeB6m0noo9%2FSO79U8lJ5glnZsV5MGEIWTBe93Y4EnpuUsa2Dr3LLUVZIVagZ7U%2FL7%2Fd0Vglti%2BoyRjAl1yten6uRoxHEI7a5UtXs8APfFSeiUbqdF6YGRJ%2BeI6gGrwZL2tOOYBmi7nAIE%2FZGDLx%2BQPzlbv4QXjJlUqNVybhRIRnOABD0xQUSS78ndCn9dL9pNYimfi4odzRdpvrKH%2Fad4Ur9hM3gFeWDNfd9GTPrjrYOc%2Bq50Bvb9us%2BdwfMN08yvfBm2M%2FMqt8RUd49McNz8YtbLQ8vl3Kwak6iNARMxO6Pdk%2B0rgSnk6Wg8O3nnUekKyewpJzF50EO5qXLxPfFWSzGz3JqZSgu9T318CLkH1KLFUZxLPJZkgE14bcW6LwVJIVn9sjMXt2uWfHeChB3XQsfGa%2Fb1RiHWpojm%2FO5sKq3M9xoX8437Lk8Fox6IMlkKcvo6BjBNUDz1fV1KOt%2FA%3D%3D&checksum=303324368348f64ee27560de45e1aa3ed70d7e03c21d&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qVnHb%2BJKIG2giBWaCxi0XMgBnkJNkwnxsA%2BDoxBEJ4sh0urH44Q2ceAvPcD%2BEq8ePEuMk6%2FiEvk1brLAFz3SqX8win%2B1ZZNsNUuCb52UK56Yn3BznNVc7WoYfqSDMLB%2FQOi6SBpDC2sowRmRQLm9p%2Bp%2FEmdGvK5Ofzem0nD4dhvSZ4VOGOc%2F8ZSD716Icl%2BavaniUPRXGY7hyjA0xEW377Aa1yrWJbENVIYcVgtm%2Bt0yW2TJnBmr4r9y3mkmu%2Bc%2FoZ7I2Fx1TGE0dXMoreYAEuTa%2BeB6m0noo9%2FSO79U8lJ5glnZsV5MGEIWTBe93Y4EnpuUsa2Dr3LLUVZIVagZ7U%2FL7%2Fd0Vglti%2BoyRjAl1yten6uRoxHEI7a5UtXs8APfFSeiUbqdF6YGRJ%2BeI6gGrwZL2tOOYBmi7nAIE%2FZGDLx%2BQPzlbv4QXjJlUqNVybhRIRnOABD0xQUSS78ndCn9dL9pNYimfi4odzRdpvrKH%2Fad4Ur9hM3gFeWDNfd9GTPrjrYOc%2Bq50Bvb9us%2BdwfMN08yvfBm2M%2FMqt8RUd49McNz8YtbLQ8vl3Kwak6iNARMxO6Pdk%2B0rgSnk6Wg8O3nnUekKyewpJzF50EO5qXLxPfFWSzGz3JqZSgu9T318CLkH1KLFUZxLPJZkgE14bcW6LwVJIVn9sjMXt2uWfHeChB3XQsfGa%2Fb1RiHWpojm%2FO5sKq3M9xoX8437Lk8Fox6IMlkKcvo6BjBNUDz1fV1KOt%2FA%3D%3D&checksum=303324368348f64ee27560de45e1aa3ed70d7e03c21d
VANS CLASSIC AUTHENTIC NEW  Sizes 4.5-12 Canvas  Free Fast Shipping,47.85,0,14576,99.8,New without box,https://www.ebay.com/itm/VANS-CLASSIC-AUTHENTIC-NEW-Sizes-4-5-12-Canvas-Free-Fast-Shipping/172175727895?var=471010026673&epid=1003613117&hash=item2816791d17:g:wfIAAOSwk1JWfSVX:sc:USPSPriority!91709!US!-1
VANS OLD SKOOL RACING RED/TRUE WHITE/BLACK CANVAS SUEDE SKATE US MEN WOMEN SIZES,59.99,55,73477,99.9,New with box,https://www.ebay.com/itm/VANS-OLD-SKOOL-RACING-RED-TRUE-WHITE-BLACK-CANVAS-SUEDE-SKATE-US-MEN-WOMEN-SIZES/303247402286?var=602238167908&hash=item469af4252e:m:mFuSL5RJUgq6qvNAjSmQ_Bw
VANS OLD SKOOL PRIMARY CHECKERBOARD RACING RED/OFF WHITE CHECK SKATE US MEN SIZE,62.99,93,73477,99.9,New with box,https://www.ebay.com/itm/VANS-OLD-SKOOL-PRIMARY-CHECKERBOARD-RACING-RED-OFF-WHITE-CHECK-SKATE-US-MEN-SIZE/372296852690?var=641126038737&hash=item56ae9f24d2:m:m-QPhRZ2pyanlL1FBj9UwEA
Vans Classic Slip-On - Racing Red/True White - Skate Shoes - Canvas - Men/Women,47.95,30,1570,100.0,New with box,https://www.ebay.com/itm/Vans-Classic-Slip-On-Racing-Red-True-White-Skate-Shoes-Canvas-Men-Women/123934698907?var=424718339410&hash=item1cdb156d9b:m:mveeFZQXCOhBtewEqCOvXIA:sc:USPSPriority!91709!US!-1
Vans Mens High Top Red 13,25.0,0,494,100.0,Pre-owned,https://www.ebay.com/itm/Vans-Mens-High-Top-Red-13/193256796972?hash=item2cff00b32c:g:a58AAOSwR9Nd9Rnn
